Losses,epoch,Train DA,tta_status,overlap,threshold,image_score,topo_score,surface_dice,voi_score,voi_split,voi_merge,dt_c_time
CESoftDiceclDiceLoss_step2,model,safe,TTA,0.5,0.6,0.5295657821606262,0.1733332869959809,0.8167174029052892,0.5477563001285162,1.3057599122601091,1.485124713457986,2026-02-14 11:17:42.638942
CESoftDiceclDiceLoss_step2,model,safe,no_TTA,0.5,0.4,0.5194541806757027,0.1408433733386278,0.7999645120936342,0.5634673984038351,0.9547009003284996,1.6561763424556148,2026-02-11 11:04:19.437021
CESoftDiceclDiceLoss_step2,model,safe,no_TTA,0.5,0.5,0.5226637864030634,0.147223252667172,0.811708716280332,0.5554250282994159,1.0645242410073883,1.6314088543740772,2026-02-11 12:36:44.977789
CESoftDiceclDiceLoss_step2,model,safe,no_TTA,0.5,0.6,0.5194621537378157,0.1435710699293133,0.8140987223388749,0.5470179426869012,1.1807076715596456,1.611952239873652,2026-02-11 14:08:16.092757
Focal_Tversky_CLDICE,40,safe,TTA,0.5,0.4,0.5064705658832341,0.1561954343257734,0.7293108324440347,0.5838661263716852,0.8171868049593674,1.5968920202815542,2026-02-02 14:29:21.677131
Focal_Tversky_CLDICE,40,safe,TTA,0.5,0.7,0.484004391612275,0.1309626706588382,0.7308694842281334,0.5397464883850761,1.2522398916925803,1.6359988862079635,2026-02-03 04:40:15.686369
Focal_Tversky_CLDICE,40,safe,TTA,0.5,0.5,0.515799410391356,0.1588139528553646,0.7726990269350629,0.5648873288784989,1.068623149750335,1.531351543966644,2026-02-02 18:35:17.738337
Focal_Tversky_CLDICE,40,safe,TTA,0.5,0.6,0.5101663538327821,0.1564587081453067,0.7818705127538449,0.5416401769295557,1.3458198973167244,1.5177802782383345,2026-02-03 00:40:07.744757
Focal_Tversky_CLDICE,40,safe,no_TTA,0.6,0.4,0.4905104365622836,0.1183284618808318,0.7146307589786466,0.5854032353014508,0.7752905405556909,1.6299095897755635,2026-02-02 03:11:15.717935
Focal_Tversky_CLDICE,40,safe,no_TTA,0.6,0.7,0.4767237149078296,0.1119830644958122,0.730106377015074,0.535975896010886,1.272447773201697,1.660357357805171,2026-02-02 10:19:13.317737
Focal_Tversky_CLDICE,40,safe,no_TTA,0.6,0.5,0.5019413105270099,0.1278118190672157,0.7565726028587271,0.5679924394465449,0.9607300973336448,1.6097590048366135,2026-02-02 05:35:45.006119
